,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,RSI_10,MACD,MACD_Histogram,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,stoch_k,stoch_d
282,282,282,282,282,282,2016-02-26,18.489999771118164,18.780000686645508,18.209999084472656,18.6200008392334,7.740764141082764,803400,18.25899982452393,18.228147212164853,65.75976748205122,0.475471072773967,0.0522360289265289,16.802923095930826,17.863000011444093,18.92307692695736,11.868968424498902,0.857049953975642,0.6006686153943609,79.37983524125887,80.94648577189825
283,283,283,283,283,283,2016-02-29,18.64999961853028,18.96999931335449,18.1200008392334,18.86000061035156,7.840538501739502,1253500,18.38499984741211,18.3430296481988,68.87654024209755,0.4974172901338853,0.0593457970291577,16.942072982525882,17.966499996185302,18.99092700984472,11.403746014826805,0.9360977415924088,0.6184778910315784,88.65264321303721,83.18766684533189
284,284,284,284,284,284,2016-03-01,18.729999542236328,19.170000076293945,18.729999542236328,19.049999237060547,7.919528007507324,1531300,18.50999984741211,18.471569573446388,71.18382841935859,0.524099632473753,0.0688225114952203,16.958528750388254,18.049499988555908,19.14047122672356,12.088658842177043,0.9585360335369756,0.6057295083813554,92.43469386612651,86.8223907734742
285,285,285,285,285,285,2016-03-02,18.920000076293945,19.049999237060547,18.07999992370605,18.100000381469727,7.524589061737059,871400,18.49799995422364,18.40401153854154,50.41866255914402,0.463248571667556,0.0063771605512186,16.986823270132884,18.068000030517577,19.14917679090227,11.96786316757297,0.5147988525672542,0.6317487801826359,76.67787553624554,85.92173753846976
286,286,286,286,286,286,2016-03-03,18.229999542236328,18.530000686645508,18.11000061035156,18.299999237060547,7.607730865478516,858700,18.48099994659424,18.38510021099954,53.58579959537847,0.4262483777876973,-0.0244984266629121,17.16057662000251,18.131999969482425,19.10342331896233,10.715016006120614,0.5864706760796256,0.6173381748160113,63.181681153548226,77.43141685197342
287,287,287,287,287,287,2016-03-04,18.43000030517578,19.239999771118164,18.3799991607666,18.57999992370605,7.724135875701904,1032100,18.49099998474121,18.42053652240072,57.78093782727867,0.4147383276394443,-0.0288067814489321,17.390207319624245,18.21349992752075,19.036792535417256,9.040465711397983,0.722581857695589,0.6403854862037658,53.83401745535645,64.56452471505007
288,288,288,288,288,288,2016-03-07,18.559999465942383,18.93000030517578,17.68000030517578,18.200000762939453,7.566160202026367,843800,18.475,18.380439111589578,50.8503456570733,0.3706807960075551,-0.058291450464657,17.449442968042685,18.23849992752076,19.02755688699882,8.652651946308696,0.4756043184722904,0.6839293800697821,50.92897029422724,55.98155630104397
289,289,289,289,289,289,2016-03-08,18.09000015258789,18.440000534057617,17.84000015258789,17.950000762939453,7.46222972869873,1229400,18.41100006103516,18.30217759365319,46.75119973098473,0.3119954843756503,-0.0935814096772495,17.46313409734513,18.24349994659424,19.023865795843346,8.555001524198099,0.3119477012370554,0.6779344515953545,39.13185876962016,47.96494883973461
290,290,290,290,290,290,2016-03-09,18.07999992370605,18.350000381469727,17.81999969482422,18.190000534057617,7.562002182006836,793200,18.423000144958497,18.281781764635813,50.96732374895007,0.2816067406577929,-0.0991761227160855,17.508888806040893,18.26300001144409,19.01711121684729,8.258349722725203,0.4515989970289301,0.6673677540940348,28.237836296811043,39.43288845355281
291,291,291,291,291,291,2016-03-10,18.190000534057617,18.38999938964844,17.90999984741211,18.190000534057617,7.562002182006836,1288300,18.4040002822876,18.26509426816705,50.96732374895007,0.2545887022388662,-0.1009553289080098,17.579774189663087,18.28800001144409,18.996225833225093,7.745251764411812,0.4308133971026147,0.6539843103841478,28.02551717100052,31.798404079143904
292,292,292,292,292,292,2016-03-11,18.190000534057617,18.3799991607666,17.649999618530273,17.920000076293945,7.449758529663086,1046800,18.334000205993654,18.202349869644667,45.91777007279519,0.2089809296133893,-0.1172504812267893,17.61057669420219,18.29650001525879,18.98242333631539,7.497863749728716,0.2255524579738136,0.6594139698043326,27.741089547505236,28.001481005105592
293,293,293,293,293,293,2016-03-14,17.8700008392334,18.309999465942383,17.850000381469727,18.309999465942383,7.6118903160095215,966800,18.27900009155273,18.221922523516977,53.33747031416586,0.2019778575897284,-0.0994028426003602,17.724987684244393,18.33199996948242,18.93901225472045,6.622433845172717,0.4818780409597383,0.6451700494182079,30.537211440419288,28.767939386308342
294,294,294,294,294,294,2016-03-15,18.15999984741211,18.190000534057617,17.860000610351562,18.0,7.483016490936279,929500,18.17400016784668,18.18157297378661,47.57314903606009,0.1694600761559641,-0.1055364992272996,17.76450217086642,18.342000007629395,18.919497844392367,6.296999634966322,0.2038949881211725,0.6312292498543005,26.83439337122439,28.3708981197163
295,295,295,295,295,295,2016-03-16,17.920000076293945,18.530000686645508,17.770000457763672,18.059999465942383,7.507962226867676,771700,18.170000076293945,18.15946869963312,48.76393970285167,0.1468382950946463,-0.102526624230894,17.745632970654967,18.334000015258788,18.92236705986261,6.418316178838686,0.2671516854747498,0.6404271769306417,29.76939077611088,29.04699852925151
296,296,296,296,296,296,2016-03-17,18.34000015258789,19.190000534057617,18.309999465942383,18.959999084472656,7.882110595703125,1776100,18.23600006103516,18.30501967869485,62.83362269284416,0.1992361479339806,-0.0401030171132477,17.711622436933837,18.358500003814697,19.00537757069556,7.04717233702586,0.9649249807489004,0.6753967405970838,43.39621585266473,33.33333333333333
297,297,297,297,297,297,2016-03-18,19.07999992370605,19.76000022888184,18.93000030517578,18.93000030517578,7.869640827178955,1340600,18.271000099182128,18.4186525198732,62.20102893647376,0.235625034312239,-0.0029713045879914,17.68904941439416,18.38100004196167,19.07295066952918,7.528976943451052,0.8967047946354723,0.6864398251079172,56.27985638862206,43.14848767246588
298,298,298,298,298,298,2016-03-21,19.11000061035156,19.559999465942383,19.059999465942383,19.43000030517578,8.077500343322754,1040800,18.39400005340576,18.60253393538276,68.1410521520016,0.3013356998870904,0.0501914887894878,17.605441046448213,18.43450002670288,19.26355900695755,8.994645681236308,1.1003796486029886,0.6824083490825037,75.80453847618446,58.49353690582375
299,299,299,299,299,299,2016-03-22,19.479999542236328,19.670000076293945,19.040000915527344,19.32999992370605,8.035928726196289,895000,18.53199996948242,18.734800478714263,65.84173656127949,0.3414071516032813,0.0722103524045429,17.55639851738828,18.47150001525879,19.3866015131293,9.908253223772508,0.9690736002755084,0.6786648356304765,74.88152144305177,68.98863876928608
300,300,300,300,300,300,2016-03-23,19.25,19.520000457763672,19.0,19.520000457763672,8.11491584777832,1065200,18.664999961853027,18.8775641112687,68.11322730015554,0.3840682216008702,0.0918971379217055,17.541994133560777,18.54400005340576,19.546005973250743,10.806793754953167,0.987023272531616,0.6673316657803419,84.20221626012713,78.29609205978778
301,301,301,301,301,301,2016-03-24,19.3799991607666,19.450000762939453,19.059999465942383,19.290000915527344,8.019299507141113,471100,18.775,18.952552621133908,62.52116632169669,0.3947677491801151,0.0820773324007603,17.539900679364372,18.5895001411438,19.639099602923224,11.292390368865991,0.833699091840215,0.6525223319230834,81.99053617874695,80.35809129397528
302,302,302,302,302,302,2016-03-28,19.440000534057617,19.8799991607666,19.40999984741211,19.600000381469727,8.148174285888672,211700,18.943000030517577,19.07027039574042,66.62469226611393,0.4233810942911091,0.0885525420094034,17.500040137508467,18.63850011825561,19.77696009900276,12.216218832244705,0.92228109879765,0.6480563257305302,84.5982541249785,83.59700218795086
303,303,303,303,303,303,2016-03-29,19.450000762939453,20.049999237060547,19.26000022888184,20.049999237060547,8.335248947143555,589400,19.1170000076294,19.24840291234408,71.6339946737828,0.476871446099949,0.1136343150545947,17.405489461887903,18.698000049591062,19.99051063729423,13.825121235160449,1.0230128094625637,0.6581950887643376,88.38971860672224,84.99283630348255
304,304,304,304,304,304,2016-03-30,20.049999237060547,20.489999771118164,19.920000076293945,19.920000076293945,8.281206130981445,712000,19.30900001525879,19.370511487607686,68.34151426826045,0.5029751055346061,0.1117903795914013,17.34977787351544,18.741500091552734,20.13322230959003,14.851769722153444,0.9233962673971016,0.6518954177675793,89.1245292132387,87.37083398164647
305,305,305,305,305,305,2016-03-31,20.07999992370605,20.07999992370605,20.07999992370605,20.07999992370605,8.3477201461792,3300,19.511000061035155,19.49950938508012,70.21373312650336,0.5304583011184612,0.111418860140205,17.366153184504082,18.84050006866455,20.31484695282501,15.650825389848292,0.9203555717985952,0.6167600198796823,88.49765857297194,88.67063546431096
306,306,306,306,306,306,2016-04-01,19.940000534057617,20.299999237060547,19.6200008392334,19.6200008392334,8.156488418579102,727800,19.577000236511232,19.52141692219889,59.0570928309041,0.5092505268046459,0.0721688686611118,17.416744882628162,18.9065001487732,20.396255414918222,15.759186041015626,0.7394690949160044,0.6212770468765701,77.83590426524968,85.15269735048678
307,307,307,307,307,307,2016-04-04,19.75,19.75,19.75,19.75,8.210533142089844,200,19.659000205993653,19.56297748179909,61.00283578312496,0.4972016278244417,0.0480959757447261,17.439660953710558,18.96500015258789,20.490339351465224,16.085833763298876,0.7573197646759089,0.5861857692926682,75.45741423362703,80.59699235728289
